ID,score
0,0.8679974675178528
1,0.006141260266304
10,0.9605506658554076
100,0.939458191394806
1000,0.006739251781255
10000,0.0314420647919178
100000,0.0033546995837241
100001,0.0011135160457342
100002,0.0041094725020229
100003,0.0021151963155716
100004,0.0046649253927171
100005,0.0068145184777677
100006,0.9932734966278076
100007,0.0019494745647534
100008,0.0009324334096163
100009,0.0060177436098456
10001,0.0436704345047473
100010,0.0018384789582341
100011,0.0027770714368671
100012,0.0017769953701645
100013,0.0015871645882725
100014,0.0011042525293305
100015,0.0011167832417413
100016,0.0012792849447578
100017,0.0069422926753759
100018,0.0022207542788237
100019,0.0008325085509568
10002,0.9915414452552797
100020,0.0017265955684706
100021,0.0014866988640278
100022,0.0011903442209586
100023,0.0013231182238087
100024,0.00097099726554
100025,0.0017568876501172
100026,0.001931951730512
100027,0.0048878728412091
100028,0.002669190056622
100029,0.0013291110517457
10003,0.0053522754460573
100030,0.0009327688021585
100031,0.0009425374446436
100032,0.0015706320991739
100033,0.0020671701058745
100034,0.0018209109548479
100035,0.0016926062526181
100036,0.9947338104248048
100037,0.0012265063123777
100038,0.0009938817238435
100039,0.0012848220067098
10004,0.0045466688461601
100040,0.9941205382347108
100041,0.0038283767644315
100042,0.001546622836031
100043,0.0014288934180513
100044,0.0011793273733928
100045,0.001137874322012
100046,0.9946289658546448
100047,0.0039712870493531
100048,0.0011116613168269
100049,0.0015425854362547
10005,0.0058669564314186
100050,0.0018940477166324
100051,0.9936304688453674
100052,0.0017672275425866
100053,0.0018027931218966
100054,0.0042996979318559
100055,0.0015333184273913
100056,0.0012188164982944
100057,0.0021320770028978
100058,0.0013710453640669
100059,0.0021680190693587
10006,0.0522160828113555
100060,0.9938746094703674
100061,0.0018857528921216
100062,0.0031658585648983
100063,0.0051785628311336
100064,0.0013861213810741
100065,0.0067053204402327
100066,0.0016355033731088
100067,0.0017850691219791
100068,0.9942373037338256
100069,0.0008596063125878
10007,0.0024327705614268
